metro_area,state,county_fips1,county_fips2,county_fips3,county_fips4,county_fips5,estimate_2019,actual_2010,growth,combided_statistical_area
Appleton,WI,55087,,,,,"237,974","225,666",5.45%,"Appleton-Oshkosh-Neenah, WI CSA"
Prescott Valley-Prescott,AZ,4025,,,,,"235,099","211,033",11.40%,
Lafayette-West Lafayette,IN,18157,,,,,"233,002","210,297",10.80%,"Lafayette-West Lafayette-Frankfort, IN CSA"
Tyler,TX,48423,,,,,"232,751","209,714",10.98%,"Tyler-Jacksonville, TX CSA"
Topeka,KS,20177,,,,,"231,969","233,870",?0.81%,
Macon-Bibb County,GA,13021,,,,,"229,996","232,293",?0.99%,"Macon-Bibb County–Warner Robins, GA CSA"
Bellingham,WA,53073,,,,,"229,247","201,140",13.97%,
Champaign-Urbana,IL,17019,,,,,"226,033","217,810",3.78%,
Daphne-Fairhope-Foley,AL,1003,,,,,"223,234","182,265",22.48%,"Mobile-Daphne-Fairhope, AL CSA"
Hilton Head Island-Bluffton-Beaufort,SC,45013,,,,,"222,195","187,010",18.81%,
Rochester,MN,27109,,,,,"221,921","206,877",7.27%,"Rochester-Austin, MN CSA"
Medford,OR,41029,,,,,"220,944","203,206",8.73%,"Medford-Grants Pass, OR CSA"
Burlington-South Burlington,VT,50007,,,,,"220,411","211,261",4.33%,"Burlington-South Burlington-Barre, VT CSA"
Chico,CA,6007,,,,,"219,186","220,000",?0.37%,
Charlottesville,VA,51540,,,,,"218,615","201,559",8.46%,
Las Cruces,NM,35013,,,,,"218,195","209,233",4.28%,"El Paso-Las Cruces, TX-NM CSA"
Yuma,AZ,4027,,,,,"213,787","195,751",9.21%,
Athens-Clarke County,GA,13059,,,,,"213,750","192,541",11.02%,"Atlanta–Athens-Clarke County–Sandy Springs, GA-AL CSA"
Barnstable Town,MA,25001,,,,,"212,990","215,888",?1.34%,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
Lake Havasu City-Kingman,AZ,4015,,,,,"212,181","200,186",5.99%,"Las Vegas-Henderson, NV-AZ CSA"
Lake Charles,LA,22019,,,,,"210,409","199,607",5.41%,"Lake Charles-Jennings, LA CSA"
Columbia,MO,29019,,,,,"208,173","190,387",9.34%,"Columbia-Moberly-Mexico, MO CSA"
Houma-Thibodaux,LA,22109,,,,,"208,075","208,178",?0.05%,
Springfield,IL,22057,,,,,"206,868","210,170",?1.57%,"Springfield-Jacksonville-Lincoln, IL CSA"
Elkhart-Goshen,IN,18039,,,,,"206,341","197,559",4.45%,"South Bend-Elkhart-Mishawaka, IN-MI CSA"
Florence,SC,45041,,,,,"204,911","205,566",?0.32%,
Gainesville,GA,13139,,,,,"204,441","179,684",13.78%,"Atlanta–Athens-Clarke County–Sandy Springs, GA-AL CSA"
Johnson City,TN,47179,47019,47163,,,"203,649","198,716",2.48%,"Johnson City-Kingsport-Bristol, TN-VA CSA"
St. Cloud,MN,27141,,,,,"201,964","189,093",6.81%,"Minneapolis-St. Paul, MN-WI CSA"
Monroe,LA,22073,,,,,"200,261","204,420",?2.03%,"Monroe-Ruston, LA CSA"
Jacksonville,NC,37133,,,,,"197,938","177,772",11.34%,
Bend,OR,41017,,,,,"197,692","157,733",25.33%,"Bend-Prineville, OR CSA"
Racine,WI,55101,,,,,"196,311","195,408",0.46%,"Milwaukee-Racine-Waukesha, WI CSA"
Saginaw,MI,26145,,,,,"190,539","200,169",?4.81%,"Saginaw-Midland-Bay City, MI CSA"
Punta Gorda,FL,12015,,,,,"188,910","159,978",18.08%,"North Port-Sarasota, FL CSA"
Terre Haute,IN,18167,,,,,"186,367","189,764",?1.79%,
Warner Robins,GA,13153,,,,,"185,409","167,595",10.63%,"Macon-Bibb County–Warner Robins, GA CSA"
Midland,TX,48329,,,,,"182,603","141,671",28.89%,"Midland-Odessa, TX CSA"
Billings,MT,30111,,,,,"181,667","167,167",8.67%,
El Centro,CA,6025,,,,,"181,215","174,528",3.83%,
Dover,DE,10001,,,,,"180,786","162,310",11.38%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
Greenville,NC,37147,,,,,"180,742","168,148",7.49%,"Greenville-Kinston-Washington, NC CSA"
Redding,CA,6089,,,,,"180,080","177,223",1.61%,"Redding-Red Bluff, CA CSA"
Joplin,MO,29097,29145,,,,"179,564","175,518",2.31%,"Joplin-Miami, MO-OK CSA"
Bowling Green,KY,21227,,,,,"179,240","158,599",13.01%,"Bowling Green-Glasgow, KY CSA"
Jackson,TN,47113,,,,,"178,644","179,694",?0.58%,
Kingston,NY,36111,,,,,"177,573","182,493",?2.70%,"New York-Newark, NY-NJ-CT-PA CSA"
St. George,UT,49053,,,,,"177,556","138,115",28.56%,
Yuba City,CA,6101,,,,,"175,639","166,892",5.24%,"Sacramento-Roseville, CA CSA"
Panama City,FL,12005,,,,,"174,705","168,852",3.47%,
Muskegon,MI,26121,,,,,"173,566","172,188",0.80%,"Grand Rapids-Kentwood-Muskegon, MI CSA"
Iowa City,IA,19103,,,,,"173,105","152,586",13.45%,"Cedar Rapids-Iowa City, IA CSA"
Abilene,TX,48441,,,,,"172,060","165,252",4.12%,
Oshkosh-Neenah,WI,55139,,,,,"171,907","166,994",2.94%,"Appleton-Oshkosh-Neenah, WI CSA"
Bloomington,IL,17113,,,,,"171,517","169,572",1.15%,"Bloomington-Pontiac, IL CSA"
East Stroudsburg,PA,42089,,,,,"170,271","169,842",0.25%,"New York-Newark, NY-NJ-CT-PA CSA"
Burlington,NC,37001,,,,,"169,509","151,131",12.16%,"Greensboro–Winston-Salem–High Point, NC CSA"
Eau Claire,WI,55035,,,,,"169,304","161,151",5.06%,"Eau Claire-Menomonie, WI CSA"
Bloomington,IN,18105,,,,,"169,230","159,549",6.07%,"Bloomington-Bedford, IN CSA"
Hattiesburg,MS,28035,,,,,"168,849","162,410",3.96%,"Hattiesburg-Laurel, MS CSA"
Waterloo-Cedar Falls,IA,19013,,,,,"168,522","167,819",0.42%,
Pueblo,CO,8101,,,,,"168,424","159,063",5.89%,"Pueblo-Cañon City, CO CSA"
Blacksburg-Christiansburg,VA,51121,,,,,"167,531","162,958",2.81%,
Kahului-Wailuku-Lahaina,HI,15009,,,,,"167,417","154,834",8.13%,
Odessa,TX,48135,,,,,"166,223","137,130",21.22%,"Midland-Odessa, TX CSA"
Coeur d'Alene,ID,16055,,,,,"165,697","138,494",19.64%,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA"
Auburn-Opelika,AL,1081,,,,,"164,542","140,247",17.32%,"Columbus-Auburn-Opelika, GA-AL CSA"
Janesville-Beloit,WI,55105,,,,,"163,354","160,331",1.89%,"Madison-Janesville-Beloit, WI CSA"
Wausau-Weston,WI,55073,,,,,"163,285","162,806",0.29%,"Wausau-Stevens Point-Wisconsin Rapids, WI CSA"
State College,PA,42027,,,,,"162,385","153,990",5.45%,"State College-DuBois, PA CSA"
Sebastian-Vero Beach,FL,12061,,,,,"159,923","138,028",15.86%,"Miami-Port St. Lucie-Fort Lauderdale, FL CSA"
Jackson,MI,26075,,,,,"158,510","160,248",?1.08%,
Madera,CA,6039,,,,,"157,327","150,865",4.28%,"Fresno-Madera-Hanford, CA CSA"
Chambersburg-Waynesboro,PA,42055,,,,,"155,027","149,618",3.62%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
Grand Junction,CO,8077,,,,,"154,210","146,723",5.10%,
Elizabethtown-Fort Knox,KY,21093,21163,,,,"153,928","148,338",3.77%,"Louisville/Jefferson County–Elizabethtown–Bardstown, KY-IN CSA"
Niles,MI,26021,26027,,,,"153,401","156,813",?2.18%,"South Bend-Elkhart-Mishawaka, IN-MI CSA"
Hanford-Corcoran,CA,6031,,,,,"152,940","152,982",?0.03%,"Fresno-Madera-Hanford, CA CSA"
Decatur,AL,1103,,,,,"152,603","153,829",?0.80%,"Huntsville-Decatur, AL CSA"
Bangor,ME,23019,,,,,"152,148","153,923",?1.15%,
Alexandria,LA,22079,,,,,"152,037","153,922",?1.22%,
Idaho Falls,ID,16019,,,,,"151,530","133,265",13.71%,"Idaho Falls-Rexburg-Blackfoot, ID CSA"
Wichita Falls,TX,48485,,,,,"151,254","151,306",?0.03%,
Jefferson City,MO,29051,,,,,"151,235","149,807",0.95%,
Monroe,MI,26115,,,,,"150,500","152,021",?1.00%,"Detroit-Warren-Ann Arbor, MI CSA"
Santa Fe,NM,35049,,,,,"150,358","144,170",4.29%,"Albuquerque-Santa Fe-Las Vegas, NM CSA"
Homosassa Springs,FL,12017,,,,,"149,657","141,236",5.96%,
Vineland-Bridgeton,NJ,34011,,,,,"149,527","156,898",?4.70%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
Dothan,AL,1069,,,,,"149,358","145,639",2.55%,"Dothan-Ozark, AL CSA"
Texarkana,TX,48037,,,,,"148,761","149,198",?0.29%,
Florence-Muscle Shoals,AL,1077,1033,,,,"147,970","147,137",0.57%,
Valdosta,GA,13185,,,,,"147,292","139,588",5.52%,
Albany,GA,13095,,,,,"146,726","153,857",?4.63%,
Rocky Mount,NC,37065,37127,,,,"145,770","152,392",?4.35%,"Rocky Mount-Wilson-Roanoke Rapids, NC CSA"
Dalton,GA,13313,,,,,"144,724","142,227",1.76%,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA"
Sioux City,IA,19193,,,,,"144,701","143,577",0.78%,
Flagstaff,AZ,4005,,,,,"143,476","134,421",6.74%,
Morristown,TN,47063,,,,,"142,749","136,608",4.50%,"Knoxville-Morristown-Sevierville, TN CSA"
Logan,UT,49005,,,,,"142,165","125,442",13.33%,
Rapid City,SD,46103,,,,,"142,107","126,382",12.44%,"Rapid City-Spearfish, SD CSA"
Lebanon,PA,42075,,,,,"141,793","133,568",6.16%,"Harrisburg-York-Lebanon, PA CSA"
Winchester,VA,51840,,,,,"140,566","128,472",9.41%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
Sumter,SC,45085,,,,,"140,466","142,427",?1.38%,
Morgantown,WV,54061,,,,,"139,044","129,709",7.20%,"Morgantown-Fairmont, WV CSA"
Wheeling,WV,54069,54051,,,,"138,948","147,950",?6.08%,
Napa,CA,6055,,,,,"137,744","136,484",0.92%,"San Jose-San Francisco-Oakland, CA CSA"
La Crosse-Onalaska,WI,55063,,,,,"136,616","133,665",2.21%,
Sherman-Denison,TX,48181,,,,,"136,212","120,877",12.69%,"Dallas-Fort Worth, TX-OK CSA"
Carbondale-Marion,IL,17077,17199,,,,"135,764","139,157",?2.44%,
Harrisonburg,VA,51660,,,,,"134,964","125,228",7.77%,"Harrisonburg-Staunton-Waynesboro, VA CSA"
Hammond,LA,22105,,,,,"134,758","121,097",11.28%,"New Orleans-Metairie-Hammond, LA-MS CSA"
Battle Creek,MI,26025,,,,,"134,159","136,146",?1.46%,"Kalamazoo-Battle Creek-Portage, MI CSA"
Springfield,OH,39023,,,,,"134,083","138,333",?3.07%,"Dayton-Springfield-Kettering, OH CSA"
