Pos,Player,,AP1,PB,St,CarAV,Ht,Wt,Yrs,,NFL Draft (tm/rnd/yr),AFL Draft (tm/rnd/yr)
E-T,Dick Plasman\PlasDi20,,0,2,3,0,3-Jun,218,8,1937-1947,Chicago Bears / 3rd / 28th pick / 1937,
LB,John Pointer\PoinJo20,,0,0,0,2,2-Jun,225,1,1987-1987,,
C,Spencer Pulley\PullSp00,,0,0,2,14,4-Jun,308,4,2016-2019,,
LB,Shelton Quarles\QuarSh20,,0,1,8,56,1-Jun,225,10,1997-2006,,
T,Baby Ray\RayxBa20,,0,1,8,0,6-Jun,249,11,1938-1948,,
DE-G-T,Tom Redmond\RedmTo20,,0,0,0,14,5-Jun,250,6,1960-1965,Chicago Cardinals / 6th / 63rd pick / 1959,
DB,Herb Rich\RichHe20,,0,0,3,0,11-May,181,7,1950-1956,Los Angeles Rams / 2nd / 24th pick / 1951 Baltimore Colts / 6th / 67th pick / 1950,
S,Sean Richardson\RichSe00,College Stats,0,0,0,1,3-Jun,213,4,2012-2015,,
G,Pat Saindon\SainPa20,College Stats,0,0,0,0,3-Jun,273,2,1986-1987,,
T,Al Satterfield\SattAl20,,0,0,0,0,3-Jun,225,1,1947-1947,Philadelphia Eagles / 8th / 61st pick / 1947,
WR,Chuck Scott\ScotCh22,College Stats,0,0,0,1,2-Jun,198,2,1986-1987,Los Angeles Rams / 2nd / 50th pick / 1985,
G,Ryan Seymour\SeymRy00,,0,0,0,1,4-Jun,305,3,2014-2016,Seattle Seahawks / 7th / 220th pick / 2013,
WR,Trent Sherfield\SherTr00,College Stats,0,0,0,2,1-Jun,219,3,2018-2020,,
OT,Justin Skule\SkulJu00,College Stats,0,0,1,8,6-Jun,318,2,2019-2020,San Francisco 49ers / 6th / 183rd pick / 2019,
LB,Ed Smith\SmitEd23,,0,0,0,4,2-Jun,216,2,1980-1981,Pittsburgh Steelers / 12th / 322nd pick / 1979,
LB,Emmanuel Smith\SmitEm01,,0,0,0,0,2-Jun,240,1,2020-2020,,
